iter	Passed	Remaining
557	20248	16038
558	20280	15999
559	20317	15963
560	20341	15917
561	20376	15880
562	20411	15843
563	20446	15805
564	20482	15769
565	20511	15727
566	20548	15692
567	20589	15659
568	20619	15618
569	20650	15578
570	20677	15535
571	20719	15503
572	20751	15464
573	20788	15428
574	20823	15391
575	20871	15363
576	20897	15320
577	20916	15271
578	20957	15238
579	20998	15206
580	21035	15169
581	21067	15130
582	21111	15100
583	21127	15049
584	21163	15013
585	21226	14996
586	21260	14958
587	21304	14927
588	21331	14884
589	21355	14840
590	21391	14803
591	21429	14769
592	21464	14731
593	21502	14696
594	21531	14655
595	21577	14626
596	21623	14596
597	21652	14555
598	21680	14514
599	21713	14475
600	21739	14432
601	21775	14396
602	21815	14363
603	21840	14319
604	21872	14280
605	21903	14241
606	21940	14205
607	21972	14166
608	22012	14132
609	22053	14099
610	22078	14056
611	22127	14028
612	22149	13983
613	22182	13945
614	22222	13911
615	22256	13874
616	22289	13836
617	22318	13795
618	22348	13755
619	22380	13717
620	22405	13674
621	22450	13643
622	22473	13599
623	22499	13557
624	22537	13522
625	22579	13489
626	22615	13453
627	22645	13414
628	22684	13379
629	22723	13345
630	22748	13303
631	22778	13263
632	22819	13230
633	22847	13189
634	22859	13139
635	22882	13096
636	22904	13052
637	22958	13026
638	22993	12990
639	23025	12951
640	23076	12924
641	23117	12891
642	23161	12859
643	23202	12826
644	23238	12790
645	23277	12755
646	23319	12722
647	23382	12701
648	23426	12669
649	23473	12639
650	23510	12603
651	23548	12569
652	23584	12532
653	23624	12498
654	23658	12461
655	23688	12421
656	23725	12386
657	23755	12347
658	23810	12320
659	23844	12283
660	23871	12242
661	23904	12205
662	23939	12168
663	23974	12131
664	24015	12097
665	24049	12060
666	24085	12024
667	24116	11985
668	24142	11945
669	24176	11907
670	24205	11868
671	24237	11830
672	24263	11789
673	24315	11760
674	24346	11722
675	24369	11680
676	24399	11640
677	24439	11607
678	24468	11567
679	24504	11531
680	24533	11492
681	24567	11455
